Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
2413,Male,35-44 Years,Asian,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2414,Female,55-64 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2415,Female,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2416,Male,35-44 Years,Maori,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,Yes,MB11
2417,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Walked or Jogged,Never Smoked Regularly,No,Yes,MB11
2418,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Regular Smoker,No,Yes,MB11
2419,Female,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2420,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2421,Male,45-54 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB11
2422,Female,45-54 Years,Asian,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",50 Hours or More,Public Transport,Ex-Smoker,Yes,Yes,MB11
2423,Female,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2424,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2425,Male,25-34 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2426,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2427,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2428,Male,35-44 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2429,Male,25-34 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,Public Transport,Never Smoked Regularly,No,No,MB11
2430,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB11
2431,Female,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB11
2432,Female,35-44 Years,Pacific Peoples,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB11
2433,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2434,Male,25-34 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2435,Male,15-24 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Bicycle,Never Smoked Regularly,Yes,Yes,MB11
2436,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB11
2437,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Public Transport,Ex-Smoker,Yes,Yes,MB11
2438,Female,35-44 Years,Asian,School Qualification,Employed Full-time,"$ 5,000 or Less",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB11
2439,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB11
2440,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB11
2441,Male,35-44 Years,Pacific Peoples,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2442,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2443,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2444,Female,35-44 Years,Pacific Peoples,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB11
2445,Female,45-54 Years,Maori,University Degree or Higher,Employed Full-time,"$50,001 or More",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2446,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2447,Female,35-44 Years,Maori,School Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB11
2448,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2449,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",20-29 Hours,Public Transport,Never Smoked Regularly,Yes,No,MB11
2450,Female,45-54 Years,Pacific Peoples,No Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2451,Female,15-24 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2452,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2453,Female,55-64 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2454,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2455,Female,35-44 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Public Transport,Ex-Smoker,No,No,MB11
2456,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2457,Male,25-34 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB11
2458,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",20-29 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB11
2459,Male,25-34 Years,Pacific Peoples,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,No,MB11
2460,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2461,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB11
2462,Female,45-54 Years,Maori,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB11
2463,Male,25-34 Years,Other Ethnicity,No Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB11
2464,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,No,MB11
2465,Male,35-44 Years,Asian,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2466,Female,55-64 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB11
2467,Female,15-24 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Public Transport,Never Smoked Regularly,No,No,MB11
2468,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB11
2469,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Public Transport,Ex-Smoker,Yes,No,MB11
2470,Male,25-34 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2471,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2472,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2473,Male,35-44 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2474,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2475,Female,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2476,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2477,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2478,Male,35-44 Years,Maori,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB11
2479,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",20-29 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2480,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,Walked or Jogged,Ex-Smoker,No,Yes,MB11
2481,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB11
2482,Female,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB11
2483,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2484,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2485,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2486,Female,65 Years and Over,European,School Qualification,Employed Full-time,"$10,001 - $20,000",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2487,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2488,Female,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2489,Female,35-44 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2490,Female,25-34 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB11
2491,Female,25-34 Years,Pacific Peoples,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB11
2492,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",20-29 Hours,Walked or Jogged,Ex-Smoker,Yes,Yes,MB11
2493,Female,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Bicycle,Never Smoked Regularly,Yes,Yes,MB11
2494,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2495,Female,35-44 Years,Pacific Peoples,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB11
2496,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,No,MB11
2497,Male,25-34 Years,Other Ethnicity,No Qualification,Employed Full-time,"$10,001 - $20,000",1-19 Hours,Public Transport,Regular Smoker,No,Yes,MB11
2498,Male,35-44 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB11
2499,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,Yes,MB11
2500,Male,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Public Transport,Ex-Smoker,Yes,Yes,MB11
2501,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB11
2502,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2503,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB11
2504,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB11
2505,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2506,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2507,Male,35-44 Years,Asian,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2508,Female,45-54 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2509,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB11
2510,Female,35-44 Years,European,School Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2511,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB11
2512,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2513,Female,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB11
2514,Female,15-24 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,No,Yes,MB11
2515,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB11
2516,Male,45-54 Years,Maori,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB11
2517,Female,55-64 Years,European,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2518,Female,15-24 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB11
2519,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2520,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2521,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2522,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB11
2523,Male,25-34 Years,Other Ethnicity,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Walked or Jogged,Regular Smoker,Yes,Yes,MB11
2524,Female,45-54 Years,Asian,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2525,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2526,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB11
2527,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2528,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2529,Female,55-64 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB11
2530,Female,15-24 Years,Asian,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2531,Male,35-44 Years,European,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2532,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Public Transport,Never Smoked Regularly,No,Yes,MB11
2533,Female,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2534,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,Public Transport,Ex-Smoker,Yes,Yes,MB11
2535,Male,45-54 Years,Pacific Peoples,No Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2536,Female,25-34 Years,Asian,School Qualification,Employed Full-time,"$ 5,001 - $10,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB11
2537,Female,15-24 Years,Pacific Peoples,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2538,Female,35-44 Years,Pacific Peoples,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB11
2539,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2540,Female,45-54 Years,Maori,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2541,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2542,Male,45-54 Years,Maori,School Qualification,Employed Full-time,"$10,001 - $20,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB11
2543,Female,55-64 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2544,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Public Transport,Ex-Smoker,No,Yes,MB11
2545,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB11
2546,Female,25-34 Years,Asian,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",30-39 Hours,Walked or Jogged,Never Smoked Regularly,No,No,MB11
2547,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2548,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2549,Male,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Walked or Jogged,Never Smoked Regularly,No,No,MB11
2550,Female,35-44 Years,Asian,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB11
2551,Female,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB11
2552,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB11
2553,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2554,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB11
2555,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2556,Male,25-34 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2557,Female,35-44 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2558,Female,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2559,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2560,Female,45-54 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,Yes,MB11
2561,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Bicycle,Never Smoked Regularly,Yes,Yes,MB11
2562,Female,15-24 Years,Asian,School Qualification,Employed Part-time,"$ 5,001 - $10,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2563,Female,45-54 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB11
2564,Female,45-54 Years,European,No Qualification,Employed Part-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2565,Female,65 Years and Over,European,School Qualification,Employed Part-time,"$10,001 - $20,000",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB11
2566,Female,15-24 Years,Asian,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB11
2567,Female,55-64 Years,European,No Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB11
2568,Male,35-44 Years,European,Trade or Vocational,Employed Part-time,"$30,001 - $50,000",20-29 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2569,Female,35-44 Years,European,University Degree or Higher,Employed Part-time,"$ 5,000 or Less",1-19 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB11
2570,Female,15-24 Years,Asian,School Qualification,Employed Part-time,"$ 5,000 or Less",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB11
2571,Female,35-44 Years,European,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB11
2572,Female,25-34 Years,European,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB11
2573,Female,55-64 Years,European,No Qualification,Employed Part-time,"$ 5,000 or Less",1-19 Hours,Public Transport,Ex-Smoker,Yes,No,MB11
2574,Female,35-44 Years,European,No Qualification,Employed Part-time,"$ 5,001 - $10,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB11
2575,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$50,001 or More",1-19 Hours,Walked or Jogged,Ex-Smoker,Yes,Yes,MB11
